标题： 弱弱的求TBBT主题曲.....想做手机铃声= = 	 链接：http://tieba.baidu.com//p/899489972 	 发帖人：绵羊小巴巴 	 发帖时间：2010-09 	 回复数量： 2 
标题： 啦啦啦 	 链接：http://tieba.baidu.com//p/5364288912 	 发帖人：校笑小消 	 发帖时间：10-10 	 回复数量： 0 
标题： 遇到一个**，过两天公布照片 	 链接：http://tieba.baidu.com//p/5364199690 	 发帖人：冯超短命 	 发帖时间：10-10 	 回复数量： 0 
标题： when you finall 	 链接：http://tieba.baidu.com//p/5299185549 	 发帖人：滑板少年l... 	 发帖时间：8-31 	 回复数量： 3 
标题： 看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：http://tieba.baidu.com//p/3841146050 	 发帖人：火山冰点 	 发帖时间：2015-06 	 回复数量： 43 
标题： 昨天刚拉的光纤，网速唆唆的 	 链接：http://tieba.baidu.com//p/5362623612 	 发帖人：菲菲744320388 	 发帖时间：10-9 	 回复数量： 1 
标题： 求推荐类似生活大爆炸这样搞笑的美剧！不要英剧 除了老友记 破 	 链接：http://tieba.baidu.com//p/4917041086 	 发帖人：薇拉vl 	 发帖时间：2016-12 	 回复数量： 38 
标题： 貌似谢耳朵和莱纳德的工资并不高吧 	 链接：http://tieba.baidu.com//p/2264468370 	 发帖人：wyaokai789 	 发帖时间：2013-11 	 回复数量： 120 
标题： 初来乍到 感谢有TBBT陪伴的大半年 好不容易追到了第五季 	 链接：http://tieba.baidu.com//p/5357226888 	 发帖人：飞起来的... 	 发帖时间：10-5 	 回复数量： 5 
标题： 给小盆友买这个桌子的爸妈，你们几个意思？还嫌42分不够少啊 	 链接：http://tieba.baidu.com//p/5363692148?fid=1441624 	 发帖人：奉家妹子 	 发帖时间：10-9 	 回复数量： 0 
标题： 那些死乞白赖不让我们养狗的老爸，最后的下场都这样了(摊手) 	 链接：http://tieba.baidu.com//p/5363688004?fid=1441624 	 发帖人：奉家妹子 	 发帖时间：10-9 	 回复数量： 0 
标题： 前方高能，谢耳朵跳弗朗明哥，太萌了 	 链接：http://tieba.baidu.com//p/5341126382 	 发帖人：songchuankai74 	 发帖时间：9-25 	 回复数量： 9 
标题： 话说谢耳朵他们几个的编程水平如何？ 	 链接：http://tieba.baidu.com//p/5356584302 	 发帖人：耳朵Moonpie 	 发帖时间：10-5 	 回复数量： 35 
标题： 天冷了，我就想买件衣服 	 链接：http://tieba.baidu.com//p/5363497740 	 发帖人：泷泽小妹 	 发帖时间：10-9 	 回复数量： 0 
标题： 知道这里是哪里么？ 	 链接：http://tieba.baidu.com//p/5361758273?fid=1441624 	 发帖人：Miss桂 	 发帖时间：10-8 	 回复数量： 2 
标题： 是不是莱纳德在科考船上亲的那个 	 链接：http://tieba.baidu.com//p/5345523573 	 发帖人：天空一片... 	 发帖时间：9-28 	 回复数量： 23 
标题： 有人知道这张图是哪一季的哪一集吗 	 链接：http://tieba.baidu.com//p/5341084368 	 发帖人：Baby 	 发帖时间：9-25 	 回复数量： 7 
标题： 生活大爆炸中最完整的一个段子，抖M！ 	 链接：http://tieba.baidu.com//p/5231715611 	 发帖人：电视巨有料 	 发帖时间：7-19 	 回复数量： 7 
标题： 真爱是无价的 	 链接：http://tieba.baidu.com//p/5283207133 	 发帖人：中国式半仙 	 发帖时间：8-21 	 回复数量： 4 
标题： Howard老妈病逝，但其实你曾见过她 	 链接：http://tieba.baidu.com//p/3417266062 	 发帖人：车车841213 	 发帖时间：2014-11 	 回复数量： 17 
标题： 大家好 我挖煤回来了 	 链接：http://tieba.baidu.com//p/5365154682 	 发帖人：---- 	 发帖时间：10-10 	 回复数量： 6 
标题： 才子霍华德 	 链接：http://tieba.baidu.com//p/5296432418 	 发帖人：---- 	 发帖时间：8-29 	 回复数量： 1 
标题： 发现美剧里经常吃这种中餐. 	 链接：http://tieba.baidu.com//p/2152720674 	 发帖人：---- 	 发帖时间：2013-02 	 回复数量： 97 
标题： 生活大爆炸。一到十一季。全。已出 	 链接：http://tieba.baidu.com//p/5371329039 	 发帖人：---- 	 发帖时间：06:52 	 回复数量： 1 
标题： 拉杰的首次约会失败 	 链接：http://tieba.baidu.com//p/5299352467 	 发帖人：---- 	 发帖时间：8-31 	 回复数量： 0 
标题： 各位大神们，谢耳朵用的是什么鼠标呀？ 	 链接：http://tieba.baidu.com//p/3683805939 	 发帖人：---- 	 发帖时间：2015-04 	 回复数量： 12 
